apartment_id,apartment_nm,apartment_price,region_cd,region_nm,exclusive_area,deleted_yn,created_at,updated_at
57,LG진로,239000000,31200,울산광역시 북구,22,0,2024.5.22 10:19,2024.5.22 10:19
58,LG한강자이,3450000000,11170,서울특별시 용산구,51,0,2024.5.22 10:19,2024.5.22 10:19
59,LH뉴웰시티,248000000,27140,대구광역시 동구,18,0,2024.5.22 10:19,2024.5.22 10:19
60,LH동탄호수하우스디,648000000,41590,경기도 화성시,26,0,2024.5.22 10:19,2024.5.22 10:19
61,LH지행역더퍼스트,240000000,41250,경기도 동두천시,18,0,2024.5.22 10:19,2024.5.22 10:19
62,LH허브시티,177000000,27710,대구광역시 달성군,18,0,2024.5.22 10:19,2024.5.22 10:19
63,LIG건영,145000000,26350,부산광역시 해운대구,18,0,2024.5.22 10:19,2024.5.22 10:19
64,LIG아파트,290000000,41220,경기도 평택시,30,0,2024.5.22 10:19,2024.5.22 10:19
65,LKS노빌리티,195000000,26410,부산광역시 금정구,19,0,2024.5.22 10:19,2024.5.22 10:19
66,METAPOLIS,1055000000,41590,경기도 화성시,34,0,2024.5.22 10:19,2024.5.22 10:19
67,MaruHiII,50500000,29200,광주광역시 광산구,6,0,2024.5.22 10:19,2024.5.22 10:19
68,NPART,674000000,28260,인천광역시 서구,36,0,2024.5.22 10:19,2024.5.22 10:19
69,NS타워텔,37000000,28177,인천광역시 미추홀구,4,0,2024.5.22 10:19,2024.5.22 10:19
70,SCIENCETOWN,370000000,30200,대전광역시 유성구,26,0,2024.5.22 10:19,2024.5.22 10:19
71,SD아이프라임강북,269000000,27230,대구광역시 북구,26,0,2024.5.22 10:19,2024.5.22 10:19
72,SK,500000000,41463,경기도 용인시 기흥구,26,0,2024.5.22 10:19,2024.5.22 10:19
73,SKVIEW,500000000,41285,경기도 고양시 일산동구,37,0,2024.5.22 10:19,2024.5.22 10:19
74,SKVIEW,940000000,11530,서울특별시 구로구,26,0,2024.5.22 10:19,2024.5.22 10:19
75,SKVIEW,400000000,41150,경기도 의정부시,26,0,2024.5.22 10:19,2024.5.22 10:19
76,SKVIEW,248000000,26350,부산광역시 해운대구,18,0,2024.5.22 10:19,2024.5.22 10:19
77,SK뷰1차,595000000,41281,경기도 고양시 덕양구,32,0,2024.5.22 10:19,2024.5.22 10:19
78,SK비전,275000000,41220,경기도 평택시,26,0,2024.5.22 10:19,2024.5.22 10:19
79,SK허브,410000000,30200,대전광역시 유성구,36,0,2024.5.22 10:19,2024.5.22 10:19
80,SK허브올리브,170000000,26260,부산광역시 동래구,16,0,2024.5.22 10:19,2024.5.22 10:19
81,SR친오애,130000000,41220,경기도 평택시,17,0,2024.5.22 10:19,2024.5.22 10:19
82,Sea-파라다이스,149000000,47113,경상북도 포항시 북구,18,0,2024.5.22 10:19,2024.5.22 10:19
83,SummitPlace광교,1390000000,41117,경기도 수원시 영통구,33,0,2024.5.22 10:19,2024.5.22 10:19
84,THE-푸른,120000000,48127,경상남도 창원시 마산회원구,18,0,2024.5.22 10:19,2024.5.22 10:19
85,TM힐,100000000,51830,강원특별자치도 양양군,9,0,2024.5.22 10:19,2024.5.22 10:19
86,TS주상복합빌딩,65500000,50110,제주특별자치도 제주시,8,0,2024.5.22 10:19,2024.5.22 10:19
87,TS푸른솔1차,223000000,41630,경기도 양주시,18,0,2024.5.22 10:19,2024.5.22 10:19
88,TS푸른솔3차아파트,210000000,41630,경기도 양주시,20,0,2024.5.22 10:19,2024.5.22 10:19
89,U-스타시티일동미라주더스타1단지,338000000,31200,울산광역시 북구,26,0,2024.5.22 10:19,2024.5.22 10:19
90,U-스타시티일동미라주더스타2단지,261000000,31200,울산광역시 북구,18,0,2024.5.22 10:19,2024.5.22 10:19
91,U-스타시티일동미라주더스타3단지,320000000,31200,울산광역시 북구,26,0,2024.5.22 10:19,2024.5.22 10:19
92,W-Castle,410000000,41830,경기도 양평군,26,0,2024.5.22 10:19,2024.5.22 10:19
93,W-PARK,170000000,26500,부산광역시 수영구,15,0,2024.5.22 10:19,2024.5.22 10:19
94,Wellus108동,143700000,48270,경상남도 밀양시,26,0,2024.5.22 10:19,2024.5.22 10:19
95,Wellus109동,105060000,48270,경상남도 밀양시,26,0,2024.5.22 10:19,2024.5.22 10:19
96,e-편한세상,1970000000,11680,서울특별시 강남구,18,0,2024.5.22 10:19,2024.5.22 10:19
97,e-편한세상,358000000,48330,경상남도 양산시,31,0,2024.5.22 10:19,2024.5.22 10:19
98,e-편한세상,370000000,46230,전라남도 광양시,36,0,2024.5.22 10:19,2024.5.22 10:19
99,e-편한세상안동1단지,309000000,47170,경상북도 안동시,22,0,2024.5.22 10:19,2024.5.22 10:19
100,e-편한세상창원파크센트럴,368000000,48127,경상남도 창원시 마산회원구,18,0,2024.5.22 10:19,2024.5.22 10:19
101,e편한세상,310000000,30110,대전광역시 동구,26,0,2024.5.22 10:19,2024.5.22 10:19
102,e편한세상,520000000,29140,광주광역시 서구,26,0,2024.5.22 10:19,2024.5.22 10:19
103,e편한세상,610000000,11320,서울특별시 도봉구,26,0,2024.5.22 10:19,2024.5.22 10:19
104,e편한세상 계양 더프리미어,570000000,28245,인천광역시 계양구,26,0,2024.5.22 10:19,2024.5.22 10:19
105,e편한세상 광주양벌,405000000,41610,경기도 광주시,26,0,2024.5.22 10:19,2024.5.22 10:19
106,e편한세상 금정역 에코센트럴 아파트,720000000,41410,경기도 군포시,26,0,2024.5.22 10:19,2024.5.22 10:19
